,Acidity,Aftertaste,Aroma,Bag Weight,Balance,Body,Category.One.Defects,Category.Two.Defects,Clean Cup,Color,Company,Country of Origin,Cupper Points,Expiration,Farm Name,Flavor,Grading Date,Harvest Year,ICO Number,In-Country Partner,Mill,Moisture,Number of Bags,Processing Method,Producer,Region,Species,Sweetness,Uniformity,Variety,altitude_high_meters,altitude_low_meters,altitude_mean_meters,quality_score
0,8.75,8.67,8.67,60 kg,8.42,8.5,0,0,10.0,Green,metad agricultural developmet plc,Ethiopia,8.75,"April 3rd, 2016",METAD PLC,8.83,"April 4th, 2015",2014,2014/2015,METAD Agricultural Development plc,metad plc,0.12,300,Washed / Wet,METAD PLC,guji-hambela,Arabica,10.0,10.0,,2200.0,1950.0,2075.0,90.58
1,8.58,8.5,8.75,60 kg,8.42,8.42,0,1,10.0,Green,metad agricultural developmet plc,Ethiopia,8.58,"April 3rd, 2016",METAD PLC,8.67,"April 4th, 2015",2014,2014/2015,METAD Agricultural Development plc,metad plc,0.12,300,Washed / Wet,METAD PLC,guji-hambela,Arabica,10.0,10.0,Other,2200.0,1950.0,2075.0,89.92
2,8.42,8.42,8.42,1,8.42,8.33,0,0,10.0,,,Guatemala,9.25,"May 31st, 2011","San Marcos Barrancas ""San Cristobal Cuch",8.5,"May 31st, 2010",,,Specialty Coffee Association,,0.0,5,,,,Arabica,10.0,10.0,Bourbon,1800.0,1600.0,1700.0,89.75
3,8.42,8.42,8.17,60 kg,8.25,8.5,0,2,10.0,Green,yidnekachew debessa coffee plantation,Ethiopia,8.67,"March 25th, 2016",Yidnekachew Dabessa Coffee Plantation,8.58,"March 26th, 2015",2014,,METAD Agricultural Development plc,wolensu,0.11,320,Natural / Dry,Yidnekachew Dabessa Coffee Plantation,oromia,Arabica,10.0,10.0,,2200.0,1800.0,2000.0,89.0
4,8.5,8.25,8.25,60 kg,8.33,8.42,0,2,10.0,Green,metad agricultural developmet plc,Ethiopia,8.58,"April 3rd, 2016",METAD PLC,8.5,"April 4th, 2015",2014,2014/2015,METAD Agricultural Development plc,metad plc,0.12,300,Washed / Wet,METAD PLC,guji-hambela,Arabica,10.0,10.0,Other,2200.0,1950.0,2075.0,88.83
5,8.5,8.42,8.58,30 kg,8.33,8.25,0,1,10.0,Bluish-Green,,Brazil,8.33,"September 3rd, 2014",,8.42,"September 3rd, 2013",2013,,Specialty Coffee Institute of Asia,,0.11,100,Natural / Dry,,,Arabica,10.0,10.0,,,,,88.83
6,8.5,8.33,8.42,69 kg,8.25,8.25,0,0,10.0,Bluish-Green,richmond investment-coffee department,Peru,8.5,"September 17th, 2013",,8.5,"September 17th, 2012",2012,,Specialty Coffee Institute of Asia,hvc,0.11,100,Washed / Wet,HVC,,Arabica,10.0,10.0,Other,,,,88.75
7,8.42,8.5,8.25,60 kg,8.5,8.33,0,0,10.0,,,Ethiopia,9.0,"September 2nd, 2011",Aolme,8.33,"September 2nd, 2010",March 2010,010/0338,Ethiopia Commodity Exchange,c.p.w.e,0.03,300,,Bazen Agricultural & Industrial Dev't Plc,oromia,Arabica,9.33,10.0,,1700.0,1570.0,1635.0,88.67
8,8.42,8.58,8.67,60 kg,8.42,8.33,0,0,10.0,,,Ethiopia,8.67,"September 2nd, 2011",Aolme,8.67,"September 2nd, 2010",March 2010,010/0338,Ethiopia Commodity Exchange,c.p.w.e,0.03,300,,Bazen Agricultural & Industrial Dev't Plc,oromiya,Arabica,9.33,9.33,,1700.0,1570.0,1635.0,88.42
9,8.5,8.5,8.08,60 kg,8.42,7.67,0,4,10.0,Green,diamond enterprise plc,Ethiopia,8.5,"March 29th, 2016",Tulla Coffee Farm,8.58,"March 30th, 2015",2014,2014/15,METAD Agricultural Development plc,tulla coffee farm,0.1,50,Natural / Dry,Diamond Enterprise Plc,"snnp/kaffa zone,gimbowereda",Arabica,10.0,10.0,Other,1850.0,1795.0,1822.5,88.25
10,8.5,8.25,8.17,60 kg,8.17,7.75,0,1,10.0,,fahem coffee plantation,Ethiopia,8.58,"March 26th, 2016",Fahem Coffee Plantation,8.67,"March 27th, 2015",2014,,METAD Agricultural Development plc,,0.1,300,Natural / Dry,Fahem Coffee Plantation,oromia,Arabica,10.0,10.0,,1955.0,1855.0,1905.0,88.08
11,8.33,8.17,8.25,1 kg,8.17,8.08,0,0,10.0,,coffee quality institute,United States,8.5,"March 12th, 2016",El filo,8.42,"March 13th, 2015",2014,unknown,Almacafé,,0.0,10,Washed / Wet,Alfredo De Jesús López Pérez,antioquia,Arabica,10.0,10.0,Other,1872.0,1872.0,1872.0,87.92
12,8.42,8.33,8.08,1 kg,8.08,8.0,0,0,10.0,,coffee quality institute,United States,8.33,"March 12th, 2016",Los Cedros,8.67,"March 13th, 2015",2014,unknown,Almacafé,,0.0,10,Washed / Wet,Jorge Walter Restrepo,antioquia,Arabica,10.0,10.0,Other,1943.0,1943.0,1943.0,87.92
13,8.25,8.08,8.33,1,8.0,8.25,0,2,10.0,,,United States (Hawaii),8.58,"May 31st, 2011",Arianna Farms,8.42,"May 31st, 2010",Sept 2009 - April 2010,,Specialty Coffee Association,,0.0,1,,"Robert, Sharon, Arianna Wood",kona,Arabica,10.0,10.0,,609.6,609.6,609.6,87.92
14,8.25,8.5,8.25,60 kg,8.75,8.58,0,2,10.0,,,Ethiopia,8.5,"August 31st, 2011",Aolme,8.33,"August 31st, 2010",March 2010,010/0338,Ethiopia Commodity Exchange,c.p.w.e,0.05,300,,Bazen Agricultural & Industrial Dev't Plc,oromiya,Arabica,9.33,9.33,,1700.0,1570.0,1635.0,87.83
15,8.17,8.58,8.0,1 kg,8.0,8.17,0,0,10.0,,coffee quality institute,United States,8.17,"March 12th, 2016",El Águila,8.5,"March 13th, 2015",2014,unknown,Almacafé,,0.0,10,Washed / Wet,María Leticia Diosa,antioquia,Arabica,10.0,10.0,Other,2080.0,2080.0,2080.0,87.58
16,7.75,7.83,8.33,"2 kg,lbs",8.42,8.5,0,0,10.0,,,Indonesia,8.33,"May 31st, 2011",Toarco Jaya,8.25,"May 31st, 2010",May-August,,Specialty Coffee Association,,0.03,1,,P.T. Toarco Jaya,sulawesi,Arabica,10.0,10.0,,1800.0,1200.0,1500.0,87.42
17,8.33,8.25,8.17,6,8.33,8.42,0,2,10.0,,,Ethiopia,8.83,"June 16th, 2011",,8.33,"June 16th, 2010",2009/2010,010/0056,Ethiopia Commodity Exchange,,0.05,150,,Green Gold Ethiopia | Phone: 0114342032,yirgacheffe,Arabica,9.33,9.33,,,,,87.33
18,8.17,8.08,8.42,60 kg,8.0,7.92,0,0,10.0,Green,yunnan coffee exchange,China,8.42,"April 7th, 2017",Echo Coffee,8.25,"April 7th, 2016",2015,,Yunnan Coffee Exchange,echo coffee mill,0.1,3,Washed / Wet,Echo Coffee,yunnan,Arabica,10.0,10.0,Catimor,1450.0,1450.0,1450.0,87.25
